,simm_ABAD_pos,simm_ABAD_neg,simm_LAR_pos,simm_LAR_neg,simm_FLEX_pos,simm_FLEX_neg,maya_ABAD_pos,maya_ABAD_neg,maya_LAR_pos,maya_LAR_neg,maya_FLEX_pos,maya_FLEX_neg
44L_13_90,16.34412,0.0,0.0,-3.6063,11.6268,0.0,18.73167872,0.0,0.0,-0.3188960999,17.123650310000002,0.0
44L_13_91,16.35286,0.0,0.0,-3.5971,11.6177,0.0,18.75405312,0.0,0.0,-0.2974572964,17.09249496,0.0
44L_13_92,16.36445,0.0,0.0,-3.5976,11.6133,0.0,18.78523111,0.0,0.0,-0.2847098187,17.06980824,0.0
44L_13_93,16.38096,0.0,0.0,-3.6085,11.6168,0.0,18.82554889,0.0,0.0,-0.2839399688,17.06291199,0.0
44L_13_94,16.40238,0.0,0.0,-3.6289,11.6269,0.0,18.87667418,0.0,0.0,-0.2976958826,17.07573533,0.0
44L_13_95,16.4263,0.0,0.0,-3.6575,11.6384,0.0,18.93893957,0.0,0.0,-0.327780433,17.10758209,0.0
44L_13_96,16.44975,0.0,0.0,-3.6924,11.6455,0.0,19.00959969,0.0,0.0,-0.3744136915,17.15360403,0.0
44L_13_97,16.47172,0.0,0.0,-3.7315,11.6459,0.0,19.08270836,0.0,0.0,-0.4350788891,17.20616698,0.0
44L_13_98,16.49408,0.0,0.0,-3.7726,11.6424,0.0,19.15016174,0.0,0.0,-0.5039810017,17.25614071,0.0
44L_13_99,16.51978,0.0,0.0,-3.813,11.6406,0.0,19.20335889,0.0,0.0,-0.5727595836,17.29396224,0.0
44L_13_100,16.54951,0.0,0.0,-3.8499,11.6445,0.0,19.23556566,0.0,0.0,-0.6324195861999999,17.31124878,0.0
44L_13_101,16.58001,0.0,0.0,-3.8813,11.6542,0.0,19.24491286,0.0,0.0,-0.6758410484,17.30353475,0.0
44L_13_102,16.60515,0.0,0.0,-3.9072,11.6661,0.0,19.23674107,0.0,0.0,-0.6999759376000001,17.27332354,0.0
44L_13_103,16.61863,0.0,0.0,-3.9302,11.6758,0.0,19.22286749,0.0,0.0,-0.7068794220999999,17.2311306,0.0
44L_13_104,16.61573,0.0,0.0,-3.9545,11.6803,0.0,19.21645164,0.0,0.0,-0.7029557973,17.19243169,0.0
44L_13_105,16.59378,0.0,0.0,-3.9824,11.678,0.0,19.22451496,0.0,0.0,-0.6963249296,17.17097402,0.0
44L_13_106,16.55258,0.0,0.0,-4.0126,11.668,0.0,19.24299002,0.0,0.0,-0.6930722296,17.17205286,0.0
44L_13_107,16.49559,0.0,0.0,-4.0386,11.65,0.0,19.25806403,0.0,0.0,-0.6940367818,17.190150019999997,0.0
44L_13_108,16.43068,0.0,0.0,-4.0514,11.6254,0.0,19.25306082,0.0,0.0,-0.6940819323,17.21265793,0.0
44L_13_109,16.36826,0.0,0.0,-4.043,11.598,0.0,19.21629906,0.0,0.0,-0.6848414987,17.22733259,0.0
44L_13_110,16.31704,0.0,0.0,-4.0099,11.573,0.0,19.14562583,0.0,0.0,-0.6598648428999999,17.22878933,0.0
44L_13_111,16.27987,0.0,0.0,-3.9558,11.5539,0.0,19.04859543,0.0,0.0,-0.6192510575,17.22044587,0.0
44L_13_112,16.25247,0.0,0.0,-3.8898,11.5387,0.0,18.93978596,0.0,0.0,-0.5708118528,17.21152067,0.0
44L_13_113,16.22571,0.0,0.0,-3.8242,11.5197,0.0,18.83690357,0.0,0.0,-0.5267937109,17.21169353,0.0
44L_13_114,16.19029,0.0,0.0,-3.7695,11.4865,0.0,18.75647545,0.0,0.0,-0.4979436845,17.226811650000002,0.0
44L_13_115,16.14171,0.0,0.0,-3.7313,11.4326,0.0,18.7098217,0.0,0.0,-0.4883152246,17.25752115,0.0
44L_13_116,16.08293,0.0,0.0,-3.7095,11.3622,0.0,18.70041132,0.0,0.0,-0.4935751855,17.30032802,0.0
44L_13_117,16.0235,0.0,0.0,-3.6996,11.2896,0.0,18.72350931,0.0,0.0,-0.5033838376,17.34911799,0.0
44L_13_118,15.97589,0.0,0.0,-3.6965,11.2329,0.0,18.7679112,0.0,0.0,-0.5063975602,17.39568114,0.0
44L_13_119,15.95061,0.0,0.0,-3.6972,11.2053,0.0,18.81891251,0.0,0.0,-0.4955901951,17.42967367,0.0
44L_13_120,15.95226,0.0,0.0,-3.7022,11.208,0.0,18.86180282,0.0,0.0,-0.4717263952,17.43969798,0.0
44L_13_121,15.97752,0.0,0.0,-3.7153,11.2309,0.0,18.88538718,0.0,0.0,-0.4435027017999999,17.41647363,0.0
44L_13_122,16.0162,0.0,0.0,-3.7417,11.2587,0.0,18.88474107,0.0,0.0,-0.424012877,17.35703468,0.0
44L_13_123,16.05544,0.0,0.0,-3.7847,11.2798,0.0,18.86207819,0.0,0.0,-0.4247925058,17.26746082,0.0
44L_13_124,16.08538,0.0,0.0,-3.843,11.2915,0.0,18.82531524,0.0,0.0,-0.4501970485,17.16225028,0.0
44L_13_125,16.10247,0.0,0.0,-3.9096,11.2984,0.0,18.78500104,0.0,0.0,-0.4951447994,17.060467,0.0
44L_13_126,16.10853,0.0,0.0,-3.9729,11.3059,0.0,18.75086188,0.0,0.0,-0.5475766583999999,16.98061109,0.0
44L_13_127,16.10695,0.0,0.0,-4.0211,11.3144,0.0,18.72888088,0.0,0.0,-0.5941729248000001,16.93639517,0.0
44L_13_128,16.09955,0.0,0.0,-4.0458,11.3199,0.0,18.71966362,0.0,0.0,-0.6260051578000001,16.93455338,0.0
44L_13_129,16.08556,0.0,0.0,-4.0444,11.3164,0.0,18.71868014,0.0,0.0,-0.6413096935,16.97453618,0.0
44L_13_130,16.06204,0.0,0.0,-4.02,11.2998,0.0,18.71842384,0.0,0.0,-0.6446906179,17.04929948,0.0
44L_13_131,16.02474,0.0,0.0,-3.9796,11.2677,0.0,18.71155143,0.0,0.0,-0.6439058483,17.146589759999998,0.0
44L_13_132,15.96943,0.0,0.0,-3.9314,11.2185,0.0,18.69362831,0.0,0.0,-0.6459813565,17.25069761,0.0
44L_13_133,15.89415,0.0,0.0,-3.8835,11.151,0.0,18.66442084,0.0,0.0,-0.6541422754999999,17.34504342,0.0
44L_13_134,15.80188,0.0,0.0,-3.8413,11.0672,0.0,18.62745166,0.0,0.0,-0.6665733457,17.41564631,0.0
44L_13_135,15.70226,0.0,0.0,-3.8074,10.9748,0.0,18.58817577,0.0,0.0,-0.6773822009999999,17.45436549,0.0
44L_13_136,15.61047,0.0,0.0,-3.7817,10.8883,0.0,18.5515368,0.0,0.0,-0.6792506576,17.46007204,0.0
44L_13_137,15.54326,0.0,0.0,-3.7633,10.8246,0.0,18.51986885,0.0,0.0,-0.6665476412,17.43664026,0.0
44L_13_138,15.51325,0.0,0.0,-3.7522,10.7957,0.0,18.49206567,0.0,0.0,-0.6377265602,17.388932699999998,0.0
44L_13_139,15.52403,0.0,0.0,-3.7502,10.8027,0.0,18.46463799,0.0,0.0,-0.5964770541,17.31979132,0.0
44L_13_140,15.56789,0.0,0.0,-3.7605,10.8338,0.0,18.43451023,0.0,0.0,-0.5515519902,17.23061681,0.0
44L_13_141,15.62751,0.0,0.0,-3.7857,10.8705,0.0,18.402282,0.0,0.0,-0.5151693895,17.12539792,0.0
44L_13_142,15.68182,0.0,0.0,-3.8267,10.8956,0.0,18.37391734,0.0,0.0,-0.4999311268,17.01516271,0.0
44L_13_143,15.71392,0.0,0.0,-3.8809,10.9008,0.0,18.35940719,0.0,0.0,-0.5147926508999999,16.91887975,0.0
44L_13_144,15.71754,0.0,0.0,-3.942,10.8888,0.0,18.36875677,0.0,0.0,-0.5614624545,16.85881972,0.0
44L_13_145,15.69867,0.0,0.0,-4.0002,10.8692,0.0,18.40749979,0.0,0.0,-0.6328637153,16.85207248,0.0
44L_13_146,15.67262,0.0,0.0,-4.0448,10.8534,0.0,18.47441196,0.0,0.0,-0.7144001871,16.902916429999998,0.0
44L_13_147,15.65949,0.0,0.0,-4.0673,10.8522,0.0,18.56265903,0.0,0.0,-0.787332207,17.00059533,0.0
44L_13_148,15.6801,0.0,0.0,-4.0638,10.8767,0.0,18.6631,0.0,0.0,-0.8328146487,17.12353945,0.0
44L_13_149,15.75117,0.0,0.0,-4.0354,10.9387,0.0,18.76661777,0.0,0.0,-0.8354500681,17.24691033,0.0
44L_13_150,15.87859,0.0,0.0,-3.9853,11.0469,0.0,18.86327267,0.0,0.0,-0.7859159260999999,17.34882593,0.0
44L_13_151,16.05127,0.0,0.0,-3.915,11.2001,0.0,18.93980384,0.0,0.0,-0.6826070696,17.41298795,0.0
44L_13_152,16.24119,0.0,0.0,-3.8218,11.3833,0.0,18.9798677,0.0,0.0,-0.5319609866,17.4287653,0.0
44L_13_153,16.41323,0.0,0.0,-3.6987,11.571,0.0,18.96975279,0.0,0.0,-0.3465299681,17.39070415,0.0
44L_13_154,16.54163,0.0,0.0,-3.5367,11.7364,0.0,18.90702605,0.0,0.0,-0.1403156482,17.297722099999998,0.0
44L_13_155,16.62488,0.0,0.0,-3.3279,11.8642,0.0,18.80639553,0.0,0.07699928246,0.0,17.15132236,0.0
44L_13_156,16.69207,0.0,0.0,-3.0693,11.9567,0.0,18.69955301,0.0,0.3037216328,0.0,16.95395231,0.0
44L_13_157,16.79879,0.0,0.0,-2.765,12.0344,0.0,18.63010287,0.0,0.5460475013,0.0,16.7100513,0.0
44L_13_158,17.01343,0.0,0.0,-2.4248,12.1285,0.0,18.64495516,0.0,0.815763846,0.0,16.42969728,0.0
44L_13_159,17.39405,0.0,0.0,-2.0589,12.2698,0.0,18.7812233,0.0,1.128410921,0.0,16.12994552,0.0
44L_13_160,17.95942,0.0,0.0,-1.6699,12.4732,0.0,19.04948473,0.0,1.502064168,0.0,15.828439,0.0
44L_13_161,18.66616,0.0,0.0,-1.2465,12.7232,0.0,19.42107201,0.0,1.953718513,0.0,15.52998185,0.0
44L_13_162,19.41049,0.0,0.0,-0.7635,12.9655,0.0,19.83065248,0.0,2.4913419780000003,0.0,15.21467447,0.0
44L_13_163,20.06358,0.0,0.0,-0.186,13.1141,0.0,20.19809723,0.0,3.106086552,0.0,14.838057760000002,0.0
44L_13_164,20.52402,0.0,0.5228,0.0,13.0768,0.0,20.4594326,0.0,3.773406744,0.0,14.34579253,0.0
44L_13_165,20.75283,0.0,1.3915,0.0,12.7849,0.0,20.58932304,0.0,4.465591609,0.0,13.69293451,0.0
44L_13_166,20.772,0.0,2.427,0.0,12.2075,0.0,20.60507059,0.0,5.166854858,0.0,12.85294533,0.0
44L_13_167,20.64363,0.0,3.5991,0.0,11.3412,0.0,20.556445120000003,0.0,5.88003397,0.0,11.81044459,0.0
44L_13_168,20.45798,0.0,4.8349,0.0,10.1875,0.0,20.51169395,0.0,6.623133421,0.0,10.54601908,0.0
44L_13_169,20.32779,0.0,6.04,0.0,8.7371,0.0,20.54268837,0.0,7.421696186,0.0,9.027170539,0.0
44L_13_170,20.35544,0.0,7.1436,0.0,6.9706,0.0,20.702295300000003,0.0,8.301320672,0.0,7.214488983000001,0.0
44L_13_171,20.57013,0.0,8.1259,0.0,4.881,0.0,20.99097729,0.0,9.278302193,0.0,5.084630251,0.0
44L_13_172,20.89056,0.0,8.9974,0.0,2.5152,0.0,21.32915497,0.0,10.34472227,0.0,2.664960623,0.0
44L_13_173,21.16124,0.0,9.7502,0.0,0.0108,0.0,21.56754017,0.0,11.45262718,0.0,0.06392154377,0.0
44L_13_174,21.24213,0.0,10.34,0.0,0.0,-2.4131,21.55271769,0.0,12.51405001,0.0,0.0,-2.531133592
44L_13_175,21.08854,0.0,10.7174,0.0,0.0,-4.5285,21.21806622,0.0,13.4305048,0.0,0.0,-4.909630418
44L_13_176,20.77217,0.0,10.8736,0.0,0.0,-6.2004,20.63307524,0.0,14.13826585,0.0,0.0,-6.9261920450000005
44L_13_177,20.4355,0.0,10.8535,0.0,0.0,-7.4412,19.96708393,0.0,14.63312864,0.0,0.0,-8.557673097
44L_13_178,20.21169,0.0,10.7307,0.0,0.0,-8.3724,19.39427495,0.0,14.9567163,0.0,0.0,-9.880647659
44L_13_179,20.16028,0.0,10.576,0.0,0.0,-9.1319,19.01029468,0.0,15.16500473,0.0,0.0,-10.99306226
44L_13_180,20.25332,0.0,10.4427,0.0,0.0,-9.8025,18.80769372,0.0,15.30742407,0.0,0.0,-11.94957972
44L_13_181,20.40804,0.0,10.3638,0.0,0.0,-10.4022,18.70709181,0.0,15.42185545,0.0,0.0,-12.75327086
44L_13_182,20.53662,0.0,10.3539,0.0,0.0,-10.9185,18.61180305,0.0,15.53475142,0.0,0.0,-13.39036703
44L_13_183,20.58389,0.0,10.409,0.0,0.0,-11.3479,18.4536314,0.0,15.65942764,0.0,0.0,-13.86838317
44L_13_184,20.54003,0.0,10.5092,0.0,0.0,-11.712,18.21275115,0.0,15.79423547,0.0,0.0,-14.230037929999998
44L_13_185,20.43139,0.0,10.6225,0.0,0.0,-12.0483,17.91166544,0.0,15.9246707,0.0,0.0,-14.54066634
44L_13_186,20.30106,0.0,10.7124,0.0,0.0,-12.39,17.59404421,0.0,16.02998495,0.0,0.0,-14.863274099999998
44L_13_187,20.19096,0.0,10.7451,0.0,0.0,-12.7526,17.301732299999998,0.0,16.09133601,0.0,0.0,-15.23740649
44L_13_188,20.1311,0.0,10.6982,0.0,0.0,-13.1321,17.05934405,0.0,16.09796286,0.0,0.0,-15.67081332
44L_13_189,20.135,0.0,10.5658,0.0,0.0,-13.5117,16.86942935,0.0,16.04967833,0.0,0.0,-16.14405632
44L_13_190,20.19852,0.0,10.3611,0.0,0.0,-13.869,16.7161727,0.0,15.9560442,0.0,0.0,-16.62277818
