,simm_ABAD_pos,simm_ABAD_neg,simm_LAR_pos,simm_LAR_neg,simm_FLEX_pos,simm_FLEX_neg,maya_ABAD_pos,maya_ABAD_neg,maya_LAR_pos,maya_LAR_neg,maya_FLEX_pos,maya_FLEX_neg
44L_13_92,0.0,-2.38627,0.0,-0.83023,14.6045,0.0,0.0,-1.191001311,0.0,-2.023589015,14.40166712,0.0
44L_13_93,0.0,-2.36396,0.0,-0.80558,14.601,0.0,0.0,-1.174616069,0.0,-1.970213205,14.414577479999998,0.0
44L_13_94,0.0,-2.33881,0.0,-0.78655,14.6019,0.0,0.0,-1.146930233,0.0,-1.920574456,14.42786098,0.0
44L_13_95,0.0,-2.31528,0.0,-0.77155,14.6049,0.0,0.0,-1.112772748,0.0,-1.875905395,14.4415307,0.0
44L_13_96,0.0,-2.29691,0.0,-0.75667,14.6061,0.0,0.0,-1.077539325,0.0,-1.835228056,14.45456624,0.0
44L_13_97,0.0,-2.28472,0.0,-0.73791,14.6023,0.0,0.0,-1.045460403,0.0,-1.796756983,14.46447015,0.0
44L_13_98,0.0,-2.27694,0.0,-0.71364,14.5926,0.0,0.0,-1.018888503,0.0,-1.759695858,14.46793199,0.0
44L_13_99,0.0,-2.27023,0.0,-0.68576,14.5795,0.0,0.0,-0.9986376762,0.0,-1.725304872,14.46210623,0.0
44L_13_100,0.0,-2.26169,0.0,-0.65889,14.567,0.0,0.0,-0.9848258644,0.0,-1.6965134439999998,14.44552302,0.0
44L_13_101,0.0,-2.25022,0.0,-0.63791,14.5589,0.0,0.0,-0.9775450826,0.0,-1.676540822,14.41850662,0.0
44L_13_102,0.0,-2.23655,0.0,-0.62575,14.5564,0.0,0.0,-0.9769302607,0.0,-1.667743474,14.38360929,0.0
44L_13_103,0.0,-2.22214,0.0,-0.62243,14.5585,0.0,0.0,-0.9825883806,0.0,-1.671253443,14.34607387,0.0
44L_13_104,0.0,-2.20811,0.0,-0.62573,14.5623,0.0,0.0,-0.9928330034,0.0,-1.686908603,14.3134737,0.0
44L_13_105,0.0,-2.19504,0.0,-0.63258,14.5651,0.0,0.0,-1.004496962,0.0,-1.712971628,14.29395199,0.0
44L_13_106,0.0,-2.18367,0.0,-0.64044,14.5654,0.0,0.0,-1.013819501,0.0,-1.745910645,14.29365873,0.0
44L_13_107,0.0,-2.17569,0.0,-0.64827,14.5632,0.0,0.0,-1.018078104,0.0,-1.7809723320000002,14.31476116,0.0
44L_13_108,0.0,-2.17369,0.0,-0.65701,14.5606,0.0,0.0,-1.016904116,0.0,-1.813859195,14.35471058,0.0
